10837918,JA140143,02-03-2017 10:00,016XX W 79TH ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE,FALSE,611,6,1166608,1852321,21,71,18,2017,02/14/2017 03:49:42 PM,41.75033427,-87.66504531,"(41.75033427, -87.665045312)"
10837921,JA140180,02-03-2017 11:38,046XX S HALSTED ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,925,9,1171750,1874054,11,61,6,2017,02/14/2017 03:49:42 PM,41.809861,-87.64556572,"(41.809860998, -87.645565723)"
10837922,JA140220,01/17/2017 05:30:00 PM,035XX S COTTAGE GROVE AVE,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,212,2,1181338,1881588,4,36,6,2017,02/14/2017 03:49:42 PM,41.83031892,-87.6101661,"(41.830318923, -87.610166099)"
10837926,JA140269,02-03-2017 12:10,011XX S CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,123,1,1175696,1895352,2,32,6,2017,02/14/2017 03:49:42 PM,41.86821682,-87.6304532,"(41.86821682, -87.6304532)"
10837928,JA140279,02-03-2017 11:30,095XX S EMERALD AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2223,22,1172991,1841521,21,73,5,2017,02/14/2017 03:49:42 PM,41.72055918,-87.64197304,"(41.720559184, -87.641973036)"
10837934,JA140073,02-03-2017 09:25,080XX S MUSKEGON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,422,4,1196565,1852206,7,46,04A,2017,02/14/2017 03:49:42 PM,41.74932776,-87.55527466,"(41.74932776, -87.555274664)"
10837937,JA140265,02-03-2017 12:13,072XX S FRANCISCO AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,831,8,1158291,1856555,18,66,6,2017,02/14/2017 03:49:42 PM,41.76212625,-87.69540774,"(41.762126249, -87.69540774)"
10837940,JA140256,02-03-2017 12:15,117XX S PERRY AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,522,5,1177688,1827087,34,53,08A,2017,02/14/2017 03:49:42 PM,41.68084545,-87.62520382,"(41.680845447, -87.625203819)"
10837942,JA140110,02-02-2017 13:00,008XX E 87TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,632,6,1172446,1847094,8,44,6,2017,02/14/2017 03:49:42 PM,41.73586427,-87.64380572,"(41.735864267, -87.643805722)"
10837947,JA140235,02-03-2017 12:30,005XX N SPRINGFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1122,11,1150294,1903297,27,23,14,2017,02/14/2017 03:49:42 PM,41.89055166,-87.72350206,"(41.890551663, -87.723502064)"
10837948,JA140193,02-01-2017 14:50,081XX S SOUTH CHICAGO AVE,261,ASSAULT,AGGRAVATED: HANDGUN,SCHOOL; PUBLIC; BUILDING,FALSE,TRUE,414,4,1190162,1851155,8,45,2,2017,02/14/2017 03:49:42 PM,41.74660021,-87.57877115,"(41.746600212, -87.578771154)"
10837949,JA140077,02-03-2017 10:10,064XX S MARSHFIELD AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,TRUE,TRUE,725,7,1166433,1861947,15,67,04A,2017,02/14/2017 03:49:42 PM,41.77675304,-87.6654127,"(41.776753041, -87.665412695)"
10837950,JA139930,02-03-2017 06:52,031XX W ARTHINGTON ST,560,ASSAULT,SIMPLE,RESIDENCE-GARAGE,FALSE,FALSE,1134,11,1155528,1895867,24,27,08A,2017,02/14/2017 03:49:42 PM,41.87005932,-87.70448014,"(41.870059315, -87.704480144)"
10837953,JA140242,02-03-2017 11:40,016XX W JONQUIL TER,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,2422,24,1164218,1950996,49,1,6,2017,02/14/2017 03:49:42 PM,42.02115699,-87.67101258,"(42.021156986, -87.671012579)"
10837955,JA140234,02-03-2017 12:30,038XX W LEXINGTON ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1133,11,1150920,1896423,24,26,08A,2017,02/14/2017 03:49:42 PM,41.87167643,-87.72138308,"(41.87167643, -87.721383082)"
10837958,JA140307,02-02-2017 14:30,057XX S MAY ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,712,7,1169629,1866831,16,68,6,2017,02/14/2017 03:49:42 PM,41.7900866,-87.65355473,"(41.790086602, -87.653554734)"
10837959,JA140267,02-03-2017 11:30,081XX S RACINE AVE,320,BURGLARY,STRONGARM - NO WEAPON,GAS STATION,FALSE,FALSE,613,6,1169735,1850913,21,71,3,2017,02/14/2017 03:49:42 PM,41.74640331,-87.65362731,"(41.746403307, -87.653627313)"
10837962,JA140313,02-01-2017 09:00,005XX W 60TH PL,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,711,7,1173848,1864787,20,68,6,2017,02/14/2017 03:49:42 PM,41.78438506,-87.63814549,"(41.784385063, -87.638145488)"
10837963,JA139706,02-02-2017 21:05,051XX S PULASKI RD,320,BURGLARY,STRONGARM - NO WEAPON,RESTAURANT,FALSE,FALSE,822,8,1150572,1870152,23,62,3,2017,02/14/2017 03:49:42 PM,41.79959216,-87.72334567,"(41.799592162, -87.723345674)"
10837965,JA140272,02-03-2017 12:15,056XX S ELIZABETH ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,TRUE,FALSE,713,7,1168951,1867402,16,67,18,2017,02/14/2017 03:49:42 PM,41.79166818,-87.65602428,"(41.791668176, -87.656024275)"
10837966,JA140240,02-03-2017 11:30,009XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1833,18,1177324,1906733,42,8,6,2017,02/14/2017 03:49:42 PM,41.89941016,-87.62413127,"(41.899410159, -87.624131266)"
